time,x,y,yaw,v,omega
1627645473.5886757,0.0,0.0,-0.8608007226548521,0.0,-0.003165668807923794
1627645473.5887754,0.0,0.0,-0.8607240746807866,0.0,0.002323226537555456
1627645473.6103792,0.0,0.0,-0.860470263754552,0.0,0.0037331790663301945
1627645473.674937,0.0,0.0,-0.8605945370169622,0.0,-0.0037663814146071672
1627645473.722037,0.0,0.0,-0.8606481755479399,0.0,-0.0014921857509762049
1627645473.7404652,0.0,0.0,-0.8605378647739651,0.0,0.002298504114151001
1627645473.781987,0.0,0.0,-0.8606314671353554,0.0,-0.002923421561717987
1627645473.80494,0.0,0.0,-0.8605494198282155,0.0,0.001909081358462572
1627645473.8886945,0.0,0.0,-0.860626395425209,0.0,-0.002139144577085972
1627645473.9343169,0.0,0.0,-0.8607856444518369,0.0,-0.0023418928030878305
1627645473.9865868,0.0,0.0,-0.8607331879235051,0.0,0.0015921664889901876
1627645474.0116744,0.0,0.0,-0.8607750134911042,0.0,-0.0006976227159611881
1627645474.0625322,0.0,0.0,-0.8607150751012954,0.0,0.0016643769340589643
1627645474.1096008,0.0,0.0,-0.8605504585005581,0.0,0.002421219600364566
1627645474.1596498,0.0,0.0,-0.8606526549181357,0.0,-0.003193039447069168
1627645474.207638,0.0,0.0,-0.8605589787825878,0.0,0.0018724799156188965
1627645474.251321,0.0,0.0,-0.8606315807628073,0.0,-0.0022687017917633057
1627645474.295631,0.0,0.0,-0.8606723253930827,0.0,-0.001131246448494494
1627645474.339365,0.0,0.0,-0.8608147215580759,0.0,-0.0043150149285793304
1627645474.3833947,0.0,0.0,-0.860802053541481,0.0,0.0003838177944999188
1627645474.3834054,0.0,0.0,-0.860856215690758,0.0,-0.0011060311226174235
1627645474.4278338,0.0,0.0,-0.8608367305110486,0.0,0.0006100162863731384
1627645474.4476972,0.0,0.0,-0.8608213924069067,0.0,0.00031262027914635837
1627645474.4993484,0.0,0.0,-0.8608070931667444,0.0,0.0004470348358154297
1627645474.5458288,0.0,0.0,-0.8607336342693848,0.0,0.0011301958002150059
1627645474.5969412,0.0,0.0,-0.8607929400607045,0.0,-0.001797170378267765
1627645474.6529162,0.0,0.0,-0.8609219356373543,0.0,-0.0020153820514678955
1627645474.7329435,0.0,0.0,-0.8608676991078285,0.0,0.0016431916737928987
