time,v,omega
1627645364.6864772,0.0,0.0
1627645364.6975346,0.0,0.0
1627645364.7069573,0.0,0.0
1627645364.717269,0.0,0.0
1627645364.7274923,0.0,0.0
1627645364.737694,0.0,0.0
1627645364.7480874,0.0,0.0
1627645364.758208,0.0,0.0
1627645364.7685266,0.0,0.0
1627645364.7794023,0.0,0.0
1627645364.7890303,0.0,0.0
1627645364.7992547,0.0,0.0
1627645364.8094506,0.0,0.0
1627645364.8196955,0.0,0.0
1627645364.829922,0.0,0.0
1627645364.8401458,0.0,0.0
1627645364.8503115,0.0,0.0
1627645364.8605092,0.0,0.0
1627645364.8706198,0.0,0.0
1627645364.8807766,0.0,0.0
1627645364.8909502,0.0,0.0
1627645364.9012067,0.0,0.0
1627645364.9114542,0.0,0.0
1627645364.9216602,0.0,0.0
1627645364.9319656,0.0,0.0
1627645364.9421115,0.0,0.0
1627645364.9523082,0.0,0.0
1627645364.9626017,0.0,0.0
1627645364.9728827,0.0,0.0
1627645364.983185,0.0,0.0
1627645364.9933622,0.0,0.0
1627645365.0039265,0.0,0.0
1627645365.0138552,0.0,0.0
1627645365.0241144,0.0,0.0
1627645365.0350895,0.0,0.0
1627645365.0447886,0.0,0.0
1627645365.0569007,0.0,0.0
1627645365.0654025,0.0,0.0
1627645365.0758016,0.0,0.0
1627645365.085923,0.0,0.0
1627645365.0961418,0.0,0.0
1627645365.1064098,0.0,0.0
1627645365.116709,0.0,0.0
1627645365.126889,0.0,0.0
1627645365.1372309,0.0,0.0
1627645365.1475549,0.0,0.0
1627645365.157712,0.0,0.0
1627645365.1680956,0.0,0.0
1627645365.1796832,0.0,0.0
1627645365.1901054,0.0,0.0
1627645365.1988912,0.0,0.0
1627645365.2091322,0.0,0.0
1627645365.2194624,0.0,0.0
1627645365.2296684,0.0,0.0
1627645365.2399273,0.0,0.0
1627645365.2502196,0.0,0.0
1627645365.2604558,0.0,0.0
1627645365.2707057,0.0,0.0
1627645365.2810009,0.0,0.0
1627645365.291256,0.0,0.0
1627645365.3015287,0.0,0.0
1627645365.311759,0.0,0.0
1627645365.3220623,0.0,0.0
1627645365.3323755,0.0,0.0
1627645365.342637,0.0,0.0
1627645365.352868,0.0,0.0
1627645365.3632758,0.0,0.0
1627645365.3735726,0.0,0.0
1627645365.383843,0.0,0.0
1627645365.3942232,0.0,0.0
1627645365.404487,0.0,0.0
1627645365.4147763,0.0,0.0
1627645365.4250793,0.0,0.0
1627645365.4353483,0.0,0.0
1627645365.4457502,0.0,0.0
1627645365.4559686,0.0,0.0
1627645365.4663844,0.0,0.0
1627645365.4766424,0.0,0.0
1627645365.4869418,0.0,0.0
1627645365.4971192,0.0,0.0
1627645365.5075872,0.0,0.0
1627645365.5178244,0.0,0.0
1627645365.5280838,0.0,0.0
1627645365.5397813,0.0,0.0
1627645365.54902,0.0,0.0
1627645365.5588796,0.0,0.0
1627645365.5692005,0.0,0.0
1627645365.5805504,0.0,0.0
1627645365.589662,0.0,0.0
1627645365.599842,0.0,0.0
1627645365.6101584,0.0,0.0
1627645365.6204174,0.0,0.0
1627645365.6305747,0.0,0.0
1627645365.6408782,0.0,0.0
1627645365.6512518,0.0,0.0
1627645365.6615326,0.0,0.0
1627645365.6724308,0.0,0.0
1627645365.682567,0.0,0.0
1627645365.6927485,0.0,0.0
1627645365.7029307,0.0,0.0
1627645365.7132788,0.0,0.0
1627645365.7235825,0.0,0.0
1627645365.7340214,0.0,0.0
1627645365.7443604,0.0,0.0
1627645365.7546625,0.0,0.0
1627645365.7651162,0.0,0.0
1627645365.775378,0.0,0.0
1627645365.785694,0.0,0.0
1627645365.7961402,0.0,0.0
1627645365.8064773,0.0,0.0
1627645365.8167458,0.0,0.0
1627645365.8269432,0.0,0.0
1627645365.8372567,0.0,0.0
1627645365.8475404,0.0,0.0
1627645365.8577616,0.0,0.0
1627645365.8680625,0.0,0.0
1627645365.8782668,0.0,0.0
1627645365.888633,0.0,0.0
1627645365.8990402,0.0,0.0
1627645365.9093454,0.0,0.0
1627645365.9195344,0.0,0.0
1627645365.9297814,0.0,0.0
