time,x,y,yaw,v,omega
1627480256.8333445,0.0,0.0,-0.24628123806589913,0.0,0.0028908252716064453
1627480256.8762379,0.0,0.0,-0.2462197017395045,0.0,0.0019227154552936554
1627480256.8944592,0.0,0.0,-0.24594961580176736,0.0,0.00428727688267827
1627480256.9426727,0.0,0.0,-0.2460960951994129,0.0,-0.004438739735633135
1627480256.9660397,0.0,0.0,-0.24628566022326426,0.0,-0.004738941788673401
1627480257.0183833,0.0,0.0,-0.24622741760373448,0.0,0.001819804310798645
1627480257.0680432,0.0,0.0,-0.24625505246426505,0.0,-0.0007897615432739258
1627480257.1019125,0.0,0.0,-0.2461351819255035,0.0,0.00299699604511261
1627480257.2061782,0.0,0.0,-0.2462203872870425,0.0,-0.002434423891827464
1627480257.2610683,0.0,0.0,-0.2459157613933712,0.0,0.002901043277233839
1627480257.3123612,0.0,0.0,-0.2460467447147184,0.0,-0.003741894382983446
1627480257.3328927,0.0,0.0,-0.2462828854656132,0.0,-0.0028799220453947783
1627480257.3831491,0.0,0.0,-0.24623420417577213,0.0,0.0014756665332242846
1627480257.429793,0.0,0.0,-0.24623891679704443,0.0,-0.00014761462807655334
1627480257.472102,0.0,0.0,-0.24617619147492548,0.0,0.0018446760950610042
1627480257.5170586,0.0,0.0,-0.24622563414136098,0.0,-0.0014982440043240786
1627480257.517083,-2.4318695068359375e-05,6.198883056640625e-06,-0.24624899816514148,-0.0005273059941828251,-0.0004867712559644133
1627480257.568565,2.47955322265625e-05,-6.198883056640625e-06,-0.2472698265457144,0.0015339809469878674,-0.03093435987830162
1627480257.6165895,9.822845458984375e-05,-2.5272369384765625e-05,-0.2569673258822247,0.0011166479671373963,-0.14261025190353394
1627480257.6660004,0.00012254714965820312,-3.1948089599609375e-05,-0.26527326849582533,0.0007669904734939337,-0.25169506669044495
1627480257.7140987,7.390975952148438e-05,-1.811981201171875e-05,-0.28450519013667736,-0.0007909589330665767,-0.3004986643791199
1627480257.7655108,9.5367431640625e-07,3.814697265625e-06,-0.2956432821717013,-0.002300971420481801,-0.3375176191329956
1627480257.8131156,-9.584426879882812e-05,3.3855438232421875e-05,-0.3066424103453342,-0.0016597171779721975,-0.1803138256072998
1627480257.8570914,-0.0002646446228027344,8.821487426757812e-05,-0.319194411657348,-0.029529133811593056,-2.091998815536499
1627480257.900906,-0.00038433074951171875,0.00012874603271484375,-0.33145592858746437,-0.003722159890457988,-0.36063352227211
1627480257.900916,-0.0006227493286132812,0.00021314620971679688,-0.3496894766439268,-0.004962879698723555,-0.35752034187316895
1627480257.9547434,-0.0007176399230957031,0.0002484321594238281,-0.3601713265890399,-0.0030679618939757347,-0.317631334066391
1627480257.9805038,-0.0008826255798339844,0.0003123283386230469,-0.37881577411690776,-0.0034740157425403595,-0.36557748913764954
1627480258.0264342,-0.0010232925415039062,0.00036907196044921875,-0.38937921357640465,-0.004601942840963602,-0.32010403275489807
1627480258.0773332,-0.0010933876037597656,0.0003981590270996094,-0.40034054961570864,-0.002372876973822713,-0.34254229068756104
1627480258.1202471,-0.0012793540954589844,0.0004787445068359375,-0.417459795114028,-0.004708964843302965,-0.39812159538269043
1627480258.1650927,-0.0013947486877441406,0.0005307197570800781,-0.42863186715424495,-0.003834952600300312,-0.33854806423187256
1627480258.2087517,-0.0015320777893066406,0.0005955696105957031,-0.4519670885169447,-0.002573968144133687,-0.3955121636390686
1627480258.252323,-0.0016684532165527344,0.0006628036499023438,-0.46404855025029124,-0.004601942840963602,-0.3661052882671356
1627480258.2970629,-0.0018258094787597656,0.000743865966796875,-0.48654815073036545,-0.0029529135208576918,-0.3749931752681732
1627480258.342826,-0.0019598007202148438,0.0008158683776855469,-0.4988708593267077,-0.004601942840963602,-0.3734149634838104
1627480258.3843458,-0.0021805763244628906,0.0009398460388183594,-0.5227849654139107,-0.0037777144461870193,-0.3569268584251404
1627480258.429545,-0.002246379852294922,0.0009779930114746094,-0.5339539489901796,-0.002372876973822713,-0.3490317463874817
1627480258.4729578,-0.002376079559326172,0.001056671142578125,-0.556595584975754,-0.002410541521385312,-0.3593904674053192
1627480258.5196035,-0.0024404525756835938,0.0010972023010253906,-0.5674059860263458,-0.002372876973822713,-0.33782607316970825
1627480258.5651782,-0.002609729766845703,0.0012083053588867188,-0.5933692807995588,-0.0030679618939757347,-0.3933834433555603
1627480258.615379,-0.00269317626953125,0.0012655258178710938,-0.6054612440823913,-0.003163835732266307,-0.37787294387817383
1627480258.6662893,-0.0027761459350585938,0.001323699951171875,-0.6193159452272325,-0.0028122984804213047,-0.3848522901535034
1627480258.7088828,-0.002837657928466797,0.0013680458068847656,-0.6325017687576678,-0.0021694872993975878,-0.3767388164997101
1627480258.7574077,-0.002918720245361328,0.0014286041259765625,-0.6448390047863001,-0.003163835732266307,-0.3855377435684204
1627480258.7574232,-0.0029993057250976562,0.0014901161193847656,-0.6614170286657975,-0.0022498387843370438,-0.3684004247188568
1627480258.8018744,-0.003058910369873047,0.001537322998046875,-0.6728323992932872,-0.002300971420481801,-0.3459218740463257
1627480258.8422484,-0.0031766891479492188,0.0016331672668457031,-0.6932807230661681,-0.0027118592988699675,-0.3651476204395294
1627480258.8922992,-0.003273487091064453,0.0017147064208984375,-0.7044516591421455,-0.003834952600300312,-0.33851465582847595
