time,x,y,yaw,v,omega
1627480186.8260772,0.0,0.0,-0.17886396151083653,0.0,6.726809806423262e-05
1627480186.8455436,0.0,0.0,-0.17864207533498389,0.0,0.004350554663687944
1627480186.8922422,0.0,0.0,-0.17880976220334996,0.0,-0.004790936131030321
1627480186.939958,0.0,0.0,-0.17896693978821523,0.0,-0.002709955908358097
1627480186.9907322,0.0,0.0,-0.1788954501096032,0.0,0.0019855797290802
1627480187.0146997,0.0,0.0,-0.17876528020468616,0.0,0.0030994415283203125
1627480187.0944338,0.0,0.0,-0.1788627657169867,0.0,-0.0027852398343384266
1627480187.15569,0.0,0.0,-0.17911708494782114,0.0,-0.0026218362618237734
1627480187.204421,0.0,0.0,-0.17901832602724954,0.0,0.002743055345490575
1627480187.2231712,0.0,0.0,-0.1788746285894033,0.0,0.0038839676417410374
1627480187.272004,0.0,0.0,-0.17886072553388754,0.0,0.0003972223785240203
1627480187.2971346,0.0,0.0,-0.17893533495893357,0.0,-0.001776431337930262
1627480187.3445027,0.0,0.0,-0.17888443160748527,0.0,0.0014139546547085047
1627480187.3947172,0.0,0.0,-0.1789303858919196,0.0,-0.0007923307130113244
1627480187.4431257,0.0,0.0,-0.1788774876103977,0.0,0.0014694200363010168
1627480187.4885378,0.0,0.0,-0.17892968768241968,0.0,-0.0009848823538050056
1627480187.533798,0.0,0.0,-0.17891613136258167,0.0,0.000376668234821409
1627480187.5763907,0.0,0.0,-0.17892943134764586,0.0,-0.0003913746040780097
1627480187.6203687,0.0,0.0,-0.17889546518805186,0.0,0.0010290832724422216
1627480187.6642382,0.0,0.0,-0.17881775116423362,0.0,0.0018505823099985719
1627480187.7085311,0.0,0.0,-0.17892018619399275,0.0,-0.0031039570458233356
1627480187.7524438,0.0,0.0,-0.1788746285894033,0.0,0.001301510026678443
1627480187.7524621,0.0,0.0,-0.17895896580007348,0.0,-0.0024097305722534657
1627480187.7964566,0.0,0.0,-0.17892023142948593,0.0,0.00117403082549572
1627480187.8219628,0.0,0.0,-0.17880095902185864,0.0,0.00216852524317801
1627480187.9109411,0.0,0.0,-0.17891430226703803,0.0,-0.003434943500906229
1627480187.9523308,0.0,0.0,-0.1791925254229208,0.0,-0.0036607838701456785
1627480187.9963024,0.00047320127487182617,-8.58306884765625e-05,-0.17946257461131843,0.015028219670057297,-0.00843871384859085
1627480188.0442066,0.005429446697235107,-0.0009829998016357422,-0.1787110256675628,0.08684183657169342,0.012957586906850338
1627480188.0885074,0.009913504123687744,-0.001789093017578125,-0.1770677017862239,0.14237260818481445,0.0513540580868721
1627480188.1322722,0.015493154525756836,-0.002794981002807617,-0.17964356409271617,0.15748871862888336,-0.07155165076255798
1627480188.1764019,0.02156895399093628,-0.003901958465576172,-0.18079839308668705,0.1871456801891327,-0.034995149821043015
1627480188.2203732,0.028117060661315918,-0.00509953498840332,-0.1809984801141809,0.19019173085689545,-0.005716937128454447
1627480188.220387,0.03494000434875488,-0.0063419342041015625,-0.17924545534202607,0.1981465220451355,0.05008663609623909
1627480188.2643037,0.04136437177658081,-0.007512569427490234,-0.18125618426298037,0.19788354635238647,-0.060930848121643066
1627480188.2653992,0.05067455768585205,-0.009224176406860352,-0.18235552808388772,0.19721242785453796,-0.022903084754943848
1627480188.3149447,0.057247161865234375,-0.010428190231323242,-0.1800305860345356,0.2088131606578827,0.07265433669090271
1627480188.358755,0.06434530019760132,-0.011713266372680664,-0.17820625939414744,0.20610129833221436,0.05212383717298508
1627480188.4002347,0.0721171498298645,-0.013113260269165039,-0.17826848961524958,0.2078140527009964,-0.001637951354496181
1627480188.444356,0.07879245281219482,-0.014318704605102539,-0.1790751546353874,0.20555345714092255,-0.024444226175546646
1627480188.48823,0.08865529298782349,-0.016103744506835938,-0.1790081111725739,0.20455166697502136,0.0013681699056178331
1627480188.5321703,0.09523171186447144,-0.017287254333496094,-0.17708080362980272,0.20248548686504364,0.05840307101607323
1627480188.5763001,0.10243344306945801,-0.01856827735900879,-0.1750170651786012,0.20899395644664764,0.058963894844055176
1627480188.5763164,0.1099587082862854,-0.01990962028503418,-0.17774299326699364,0.20115335285663605,-0.07173458486795425
1627480188.6201653,0.11643528938293457,-0.021075963973999023,-0.17860786418892616,0.20564933121204376,-0.027027446776628494
1627480188.6376734,0.1260499358177185,-0.022810935974121094,-0.178473602314738,0.207870751619339,0.0028565842658281326
1627480188.6866493,0.1327260136604309,-0.024011850357055664,-0.1775129949771107,0.19950775802135468,0.028253039345145226
1627480188.7320902,0.1393296718597412,-0.025186538696289062,-0.1745407224858707,0.20960412919521332,0.09288359433412552
1627480188.7762613,0.1459341049194336,-0.026356935501098633,-0.17624050137260314,0.20325247943401337,-0.0515083484351635
1627480188.820332,0.15311241149902344,-0.027625322341918945,-0.1735284867456949,0.20248548686504364,0.07533364742994308
1627480188.8643157,0.16128838062286377,-0.029065847396850586,-0.17526660332077215,0.20248548686504364,-0.04239307716488838
1627480188.9084084,0.16781854629516602,-0.03022003173828125,-0.17460462075277466,0.20723123848438263,0.020687002688646317
1627480188.908419,0.1767914891242981,-0.03180503845214844,-0.17507040804686036,0.20248548686504364,-0.010350678116083145
1627480188.9525719,0.18332254886627197,-0.03295445442199707,-0.17331401515901432,0.20095151662826538,0.053224239498376846
1627480188.99062,0.1901317834854126,-0.03412914276123047,-0.16834905368348244,0.1919393688440323,0.1379152089357376
1627480189.0322566,0.19704681634902954,-0.03528547286987305,-0.16302222469613722,0.20620764791965485,0.15667124092578888
1627480189.0766203,0.2033190131187439,-0.036295413970947266,-0.1562872417270369,0.19853070378303528,0.21046864986419678
