time,v,omega
1627481663.1297483,0.0,0.0
1627481663.1723967,0.0,0.0
1627481663.1859167,0.0,0.0
1627481663.2415292,0.0,0.0
1627481663.283357,0.0,0.0
1627481663.3032966,0.0,0.0
1627481663.353096,0.0,0.0
1627481663.380471,0.0,0.0
1627481663.4336188,0.0,0.0
1627481663.4831028,0.0,0.0
1627481663.5754793,0.0,0.0
1627481663.6265128,0.0,0.0
1627481663.6761687,0.0,0.0
1627481663.7320592,0.0,0.0
1627481663.7840786,0.0,0.0
1627481663.805302,0.0,0.0
1627481663.8597186,0.0,0.0
1627481663.9043639,0.0,0.0
1627481663.9550076,0.0,0.0
1627481663.998515,0.0,0.0
1627481664.014024,0.0,0.0
1627481664.0648735,0.0,0.0
1627481664.114624,0.0,0.0
1627481664.165081,0.0,0.0
1627481664.2148716,0.0,0.0
1627481664.2638283,0.0,0.0
1627481664.3205655,0.0,0.0
1627481664.4002159,0.0,0.0
1627481664.4392366,0.0,0.0
1627481664.4879165,0.0,0.0
1627481664.5365674,0.0,0.0
1627481664.5881724,0.0,0.0
1627481664.6327665,0.0,0.0
1627481664.6829143,0.0,0.0
1627481664.728422,0.0,0.0
1627481664.7793598,0.0,0.0
1627481664.827076,0.0,0.0
1627481664.876109,0.0,0.0
1627481664.926057,0.0,0.0
1627481664.974735,0.0,0.0
1627481665.025376,0.0,0.0
1627481665.0746427,0.0,0.0
1627481665.1188333,0.0,0.0
1627481665.1335447,0.0,0.0
1627481665.1811545,0.0,0.0
1627481665.203043,0.0,0.0
1627481665.2532184,0.0,0.0
1627481665.2994237,0.0,0.0
1627481665.3204138,0.0,0.0
1627481665.3703163,0.0,0.0
1627481665.3851063,0.0,0.0
1627481665.4350429,0.0,0.0
1627481665.4797385,0.0,0.0
1627481665.5001223,0.0,0.0
1627481665.5456862,0.0,0.0
1627481665.570265,0.0,0.0
1627481665.6200259,0.0,0.0
1627481665.6661096,0.0,0.0
1627481665.6863701,0.0,0.0
1627481665.7397847,0.0,0.0
1627481665.7544885,0.0,0.0
1627481665.8050601,0.0,0.0
1627481665.849644,0.0,0.0
1627481665.8699296,0.0,0.0
1627481665.9108367,0.0,0.0
1627481665.9359653,0.0,0.0
1627481665.987437,0.0,0.0
1627481666.0332363,0.0,0.0
1627481666.0476189,0.0,0.0
1627481666.0966246,0.0,0.0
1627481666.1166987,0.0,0.0
1627481666.1677377,0.0,0.0
1627481666.2136304,0.0,0.0
1627481666.2288237,0.0,0.0
1627481666.2801526,0.0,0.0
1627481666.3001757,0.0,0.0
1627481666.35073,0.0,0.0
1627481666.3948915,0.0,0.0
1627481666.4149578,0.0,0.0
1627481666.45849,0.0,0.0
