time,v,omega
1627481810.7146814,-0.0013586487568387976,0.24931399211710545
1627481812.6874702,-0.0006126873130326281,-0.12127996805927319
1627481813.5131068,1.0,-0.08270016798498489
1627481814.474534,1.0,-0.09420683447120749
1627481817.450552,0.983693614464326,0.13311649843810733
1627481819.5995672,0.7821691874487107,1.0
1627481820.2952325,0.9876531227812246,0.5895154352816749
1627481820.3870292,1.0,0.5571657730025567
1627481823.4668946,1.0,-0.050339067452783624
1627481825.7413979,1.0,0.14512014312794735
1627481827.9792924,1.0,-0.34308914214256025
1627481828.6007867,0.9991286211231662,0.07160342702816706
1627481829.257485,0.9991593568828798,0.09213878148469197
1627481830.5392509,0.981645799996825,0.198120531761703
1627481831.9312723,0.9918356786828215,0.14898259412503023
1627481833.3767457,0.9815483422821768,0.828412307414355
1627481835.6031623,1.0,0.4097750627256925
1627481838.185713,1.0,0.3232591343096098
1627481840.4469402,1.0,0.7759888064852846
1627481840.700232,1.0,0.9780546545364146
1627481840.858566,0.9869233015427203,0.7100785731810024
1627481843.6032903,1.0,1.0
1627481843.9357772,1.0,0.7622388020052044
1627481845.1952388,0.9889711443440834,-0.25979973687629837
